Train_Number,Organisation,Haengsin,Seoul,Gwangmyeong,Cheonan-Asan,Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,Pohang,Frequency
297,KTX-산천,,05:03:00,05:22:00,,,06:04:00,,06:48:00,07:23:00,"Friday, Saturday, Sunday"
231,KTX-산천,,05:38:00,05:57:00,06:19:30,06:32:00,06:49:00,,07:33:00,08:08:00,Everyday
233,KTX,,06:43:00,07:02:30,07:25:00,,07:50:00,,08:34:00,09:09:00,Everyday
235,KTX_산천,07:46:00,08:08:00,08:27:30,08:50:30,09:03:00,09:20:00,,10:04:00,10:39:00,"Monday, Tuesday, Thursday"
4135,KTX-산천,07:46:00,08:08:00,08:27:30,08:50:30,09:03:00,09:20:00,,10:04:00,10:39:00,"Friday, Saturday, Sunday"
4031,KTX-산천,,08:35:00,08:54:00,,,09:36:00,,10:20:00,10:55:00,Everyday
237,KTX_산천,,09:23:00,09:42:00,,10:10:30,10:29:30,,11:14:00,11:49:00,Everyday
239,KTX-산천,10:21:00,10:43:00,11:02:00,11:24:30,11:37:00,11:54:00,,12:38:00,13:13:00,Everyday
241,KTX,,12:39:00,,,13:22:30,13:40:30,,14:25:00,15:00:00,Everyday
243,KTX-산천,,12:58:00,13:17:00,13:39:30,13:52:00,14:09:00,,14:56:00,15:32:00,Everyday
245,KTX,14:11:00,14:33:00,14:52:00,15:14:30,,15:39:30,16:04:00,16:29:00,17:04:00,Everyday
255,KTX-산천,,15:09:00,15:28:00,,15:56:30,16:15:30,,17:00:00,17:35:00,Everyday
4033,KTX_산천,,15:50:00,,,,16:46:00,,17:30:00,18:05:00,Everyday
247,KTX-산천,,16:18:00,16:37:00,,17:05:30,17:24:30,,18:08:30,18:44:00,Everyday
249,KTX-산천,,17:33:00,17:52:00,,18:20:30,18:39:30,19:04:00,19:29:00,20:04:00,Everyday
251,KTX-산천,,20:38:00,20:57:00,21:19:30,21:32:00,21:49:00,,22:33:00,23:08:00,Everyday
253,KTX-산천,,22:18:00,22:37:00,,23:05:30,23:24:30,,00:09:00,00:44:00,Everyday
