Train_Number,Organisation,Mokpo,Naju,Gwangju songjeong,Jangseong,Jeongeup,Gimje,Iksan,Nonsan,Gyeryong,Seodaejeon ,Gongju,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Yongsan,Seoul,Haengsin,Frequency
4862,KTX_산천,,,05:12:00,,05:31:30,,05:50:00,,,,,06:21:00,06:35:00,,06:53:30,07:10:00,,,,,"Saturday, Sunday"
402,KTX,,,05:37:00,,05:56:00,,06:14:30,,,,,06:46:00,07:00:00,,,,07:26:00,07:42:00,,,Everyday
474,KTX_산천,,,05:52:00,,,,06:25:00,06:50:00,07:08:00,07:24:00,,,07:49:30,,,,08:15:00,08:35:00,,08:57:00,Everyday
404,KTX-산천,05:23:00,05:50:30,06:01:00,,06:20:30,,06:45:30,,,,07:05:00,07:24:00,,,,,07:57:30,08:16:30,08:26:00,08:43:00,Everyday
472,KTX,05:32:00,06:00:00,06:10:30,06:25:00,06:43:00,06:58:30,07:12:00,07:36:30,07:54:30,08:11:00,,08:30:00,08:43:00,,,,09:09:00,09:27:00,09:32:00,,Everyday
406,KTX,07:03:00,07:30:30,07:41:00,,08:00:00,,08:18:30,,,,08:38:00,08:56:00,,,,,09:30:00,09:46:00,,,Everyday
476,KTX-산천,,,,,,,09:05:00,09:30:30,09:48:30,10:04:30,,10:23:30,,,,,,11:07:00,,,Everyday
408,KTX_산천,08:10:00,08:37:30,08:48:00,,09:07:00,,09:32:00,,,,,10:03:00,10:17:00,,,,10:43:00,11:05:00,,11:27:00,Everyday
410,KTX_산천,09:06:00,09:33:30,09:44:00,,,,10:22:00,,,,,,,,,,11:20:00,11:36:00,,,Everyday
412,KTX,09:48:00,10:15:30,10:26:00,,10:45:30,,11:04:00,,,,,,,,,,12:02:00,12:23:00,12:28:00,,Everyday
442,KTX-산천,,,11:05:00,,,,11:36:30,,,,,12:07:30,,,,,12:41:00,12:57:00,,,"Monday, Tuesday, Thursday"
452,KTX,,,11:05:00,,,,11:36:30,,,,,12:07:30,,,,,12:41:00,12:57:00,,,"Friday, Saturday, Sunday"
414,KTX-산천,10:43:00,11:10:30,11:21:00,,,,11:58:30,,,,12:18:00,,12:44:30,,,,13:10:00,13:28:00,13:33:00,,Everyday
416,KTX,,,11:34:00,,11:53:30,,12:12:30,,,,,12:43:30,12:57:30,,,,13:23:00,13:40:00,,,Everyday
418,KTX,12:44:00,13:11:30,13:22:00,,13:41:00,,13:59:30,,,,14:19:00,14:37:30,,,,,15:11:00,15:31:00,15:36:00,,Everyday
420,KTX,13:43:00,14:11:00,14:21:30,,14:41:00,,15:00:00,,,,15:19:30,15:38:00,,,,,16:10:00,16:26:00,,,Everyday
422,KTX-산천,14:19:00,14:46:30,14:57:00,,15:16:30,,15:41:30,,,,16:01:00,,,,,,16:47:00,17:05:00,17:10:00,,Everyday
4042,KTX-산천,15:19:00,15:46:30,15:57:00,,,,16:28:00,,,,,,,,,,17:26:00,17:42:00,,,"Monday, Tuesday, Thursday"
424,KTX_산천,15:50:00,16:17:30,16:28:00,,16:47:30,,17:11:30,,,,17:31:00,,17:57:00,,,,,18:43:00,,19:05:00,Everyday
482,KTX-산천,16:25:00,,16:59:30,17:14:00,17:32:00,17:47:30,18:07:00,18:32:00,18:50:00,19:07:30,,19:26:30,,,,,19:59:00,20:17:00,20:27:00,20:44:00,"Monday, Tuesday, Thursday"
488,KTX-산천,16:25:00,,16:59:30,17:14:00,17:32:00,17:47:30,18:07:00,18:32:00,18:50:00,19:07:30,,19:26:30,,,,,19:59:00,20:17:00,20:27:00,20:44:00,"Friday, Saturday, Sunday"
426,KTX-산천,16:54:00,17:21:30,17:32:00,,17:51:30,,18:16:00,,,,,,18:54:30,,,,19:20:00,19:36:00,,,Everyday
428,KTX-청룡,,,18:25:00,,,,18:56:30,,,,,,,,,,,20:08:00,20:13:00,,"Monday, Tuesday, Thursday"
492,KTX,,,18:25:00,,,,18:56:30,,,,,,,,,,,20:08:00,20:13:00,,"Friday, Saturday, Sunday"
484,KTX,,,,,,,,,,19:27:00,,19:46:00,19:59:30,,,,20:26:00,20:42:00,,,Everyday
430,KTX,18:03:00,18:30:30,18:41:00,,19:00:30,,19:19:00,,,,,19:50:00,20:04:00,,,,20:30:00,20:46:00,,,Everyday
432,KTX,18:48:00,19:15:30,19:26:00,,19:45:00,,20:03:30,,,,,,,,,,21:02:00,21:18:00,,,Everyday
486,KTX,,,,,,,,,,20:39:00,,20:58:00,21:11:00,,,,21:37:00,21:53:00,,,Everyday
4044,KTX_산천,19:16:00,,19:50:30,,20:10:30,,20:35:30,21:00:30,21:18:30,21:34:00,,,21:59:30,,,,22:25:00,22:41:00,,,"Friday, Saturday, Sunday"
434,KTX-산천,19:55:00,,20:29:00,,,,21:06:30,,,,21:26:00,21:44:00,,,,,22:18:00,22:36:00,22:46:00,23:03:00,Everyday
436,KTX,,,20:50:00,,21:09:00,,21:27:30,,,,,21:58:00,22:12:00,,,,22:38:30,22:54:00,,,Everyday
438,KTX_산천,20:42:00,21:09:30,21:20:00,,21:39:00,,22:04:00,,,,,22:35:00,22:49:30,,,,,23:26:00,,,Everyday
440,KTX,21:52:00,22:19:30,22:30:00,,,,23:01:30,,,,,,,,,,23:59:00,00:19:00,,00:41:00,Everyday
