Train_Number,Organisation,Haengsin,Seoul,Yongsan,Gwangmyeong,Suseo,Dongtan,PyeongtaekJije,Cheonan-Asan,Osong,Gongju,Seodaejeon ,Gyeryong,Nonsan,Iksan,Gimje,Jeongeup,Jangseong,Gwangju songjeong,Naju,Mokpo,Frequency
401,KTX_산천,,,05:08:00,05:25:30,,,,,05:55:00,06:12:00,,,,06:32:00,,06:49:30,,07:09:30,,07:41:00,Everyday
403,KTX_산천,,,05:48:00,06:05:30,,,,06:28:00,06:40:30,,,,,07:11:00,,07:28:30,,07:48:30,07:58:30,08:25:00,Everyday
405,KTX,06:00:00,06:22:00,06:29:00,06:46:30,,,,,07:16:00,07:33:00,,,,07:53:00,,08:10:30,,08:30:30,08:40:30,09:06:00,Everyday
471,KTX-산천,,,06:10:00,06:27:30,,,,06:50:00,07:02:30,,07:21:30,07:37:00,07:55:00,08:18:00,,,,,,,Everyday
473,KTX,,06:44:00,06:53:30,07:11:00,,,,07:33:30,07:46:00,,08:03:00,,,,,,,,,,Everyday
4863,KTX_산천,,,,,07:40:00,,08:02:00,,,,,,,08:47:00,,,,09:16:00,,,"Saturday, Sunday"
441,KTX-산천,,,07:38:00,07:55:30,,,,,08:25:00,,,,,08:55:30,,,,09:25:00,,,"Monday, Tuesday, Thursday"
451,KTX,,,07:38:00,07:55:30,,,,,08:25:00,,,,,08:55:30,,,,09:25:00,,,"Friday, Saturday, Sunday"
407,KTX-산천,07:18:00,07:39:00,07:47:30,08:05:00,,,,,,08:47:00,,,,09:07:00,,09:24:30,,09:44:30,09:54:30,10:20:00,Everyday
409,KTX,,,08:20:00,,,,,08:55:00,09:07:30,,,,,09:38:00,,09:55:30,,10:15:30,10:25:30,10:51:00,Everyday
411,KTX,,,09:19:00,09:36:30,,,,,10:06:00,,,,,10:36:00,,,,11:05:00,,,Everyday
475,KTX-산천,,,09:44:00,10:02:00,,,,10:25:00,,,10:52:00,11:07:30,11:25:30,11:52:30,12:04:30,12:20:00,12:38:30,12:52:00,13:03:30,13:31:00,Everyday
413,KTX,,10:32:00,10:40:00,,,,,11:15:00,11:27:30,,,,,11:58:00,,12:15:30,,12:35:30,12:45:30,13:11:00,Everyday
415,KTX-산천,11:47:00,12:08:30,12:18:00,12:35:30,,,,12:58:00,,13:23:00,,,,13:43:00,,,,14:14:30,14:24:30,14:50:00,Everyday
417,KTX_산천,12:17:00,,12:45:00,,,,,,13:27:00,13:44:00,,,,14:04:00,,14:21:30,,14:41:30,,15:13:00,Everyday
419,KTX-산천,,,13:30:00,13:47:30,,,,14:10:00,,,,,,14:48:00,,15:05:30,,15:25:30,15:35:30,16:01:00,Everyday
9419,KTX-산천,,,13:30:00,13:47:30,,,,14:10:00,,,,,,14:48:00,,15:05:30,,15:25:30,15:35:30,16:01:00,"Monday, Tuesday, Thursday"
421,KTX,,,14:48:00,15:05:30,,,,15:28:00,15:40:30,,,,,16:11:00,,16:28:30,,16:48:30,,17:20:00,Everyday
4041,KTX_산천,,,14:38:00,14:56:00,,,,15:18:30,15:31:00,,15:49:30,16:05:00,16:23:00,16:48:00,,17:05:00,,17:26:00,17:36:00,18:03:00,"Friday, Saturday, Sunday"
423,KTX,,,15:33:00,15:50:30,,,,,16:20:30,16:37:30,,,,16:57:30,,17:15:00,,17:35:00,17:45:00,18:11:00,Everyday
425,KTX-청룡,,,16:08:00,,,,,,,,,,,17:15:00,,,,17:44:00,,,"Monday, Tuesday, Thursday"
491,KTX,,,16:08:00,,,,,,,,,,,17:15:00,,,,17:44:00,,,"Friday, Saturday, Sunday"
427,KTX-산천,,16:35:00,16:43:00,17:00:30,,,,17:23:00,,17:48:00,,,,18:07:30,,18:25:00,,18:45:00,18:55:00,19:21:00,Everyday
429,KTX_산천,,17:37:00,17:44:00,,,,,,18:26:00,18:43:00,,,,19:03:00,,,,19:34:30,19:44:30,20:10:00,Everyday
481,KTX,,,17:10:00,17:28:00,,,,,,,18:11:30,18:27:00,18:45:00,19:10:00,19:22:00,19:37:30,19:56:00,20:10:00,20:21:30,20:49:00,Everyday
483,KTX,,,17:48:00,,,,,18:23:00,,,18:48:00,,,,,,,,,,Everyday
431,KTX,,,18:31:00,18:49:00,,,,19:11:30,19:24:00,,,,,19:54:00,,20:11:30,,20:29:00,,,Everyday
433,KTX,,19:29:00,19:41:30,19:59:00,,,,,20:28:30,20:45:30,,,,21:05:30,,21:23:00,,21:43:00,21:53:00,22:19:00,Everyday
435,KTX-산천,,,20:33:00,20:50:30,,,,21:13:00,21:25:30,,,,,21:56:00,,22:13:30,,22:33:30,22:43:30,23:09:00,Everyday
437,KTX,,,21:18:00,21:35:30,,,,,,22:18:30,,,,22:38:30,,,,23:10:00,23:20:00,23:46:00,Everyday
485,KTX_산천,,,21:09:00,21:27:00,,,,21:49:30,,,22:16:00,22:31:30,22:49:30,23:15:00,,,,23:44:00,,,Everyday
439,KTX,21:57:00,,22:23:00,22:41:00,,,,23:03:30,23:16:00,,,,,23:46:00,,00:03:30,,00:21:00,,,Everyday
