Train_Number,Organisation,Yeosu-Expo,Yeocheon,Suncheon,Guryegu,Gokseong,Namwon,Jeonju,Iksan,Nonsan,Gyeryong,Seodaejeon ,Gongju,Osong,Cheonan-Asan,Gwangmyeong,Yongsan,Seoul,Haengsin,Frequency
502,KTX-Sancheon,05:05:00,05:13:00,05:26:45,05:41:45,,06:00:00,06:25:30,06:45:30,,,,07:05:00,07:24:00,,07:57:30,08:16:30,08:26:00,08:43:00,Everyday
504,,06:03:00,06:11:00,06:25:15,,06:48:45,06:59:15,07:26:00,07:42:30,,,,08:02:00,,08:28:30,08:54:00,09:14:00,09:26:00,09:48:00,Everyday
542,KTX-Sancheon2,07:47:00,07:55:00,08:08:45,08:23:45,08:35:15,08:45:45,09:11:45,09:32:00,,,,,10:03:00,10:17:00,10:43:00,11:05:00,,11:27:00,Everyday
506,KTX-Sancheon,08:41:00,08:49:00,09:02:45,09:17:45,,09:36:00,10:02:00,10:22:00,,,,,,,11:20:00,11:36:00,,,Everyday
508,KTX-Sancheon2,10:21:00,10:28:30,10:42:15,,,11:12:30,11:38:30,11:58:30,,,,12:18:00,,12:44:30,13:10:00,13:28:00,13:33:00,,Everyday
586,,,,,,,,12:54:00,13:10:30,13:35:30,13:53:30,14:09:30,,14:28:30,,15:02:00,15:18:00,,,Everyday
510,,11:57:00,12:04:30,12:18:30,,12:42:00,12:52:30,13:18:30,13:35:00,,,,13:54:30,14:12:30,14:26:30,,15:03:00,,,Everyday
582,,12:09:00,,12:28:45,12:43:45,,13:02:00,13:27:30,13:44:00,14:09:00,14:27:00,14:43:00,,15:02:00,15:15:30,,15:52:00,,,Everyday
512,,13:03:00,,13:22:15,,,13:52:30,14:18:00,14:34:30,,,,,15:05:30,15:19:30,15:45:00,16:05:00,,16:27:00,Everyday
588,KTX-Sancheon,,,,,,,14:57:00,15:14:00,15:39:00,15:58:00,16:14:30,,16:33:30,,17:06:00,17:22:00,,,Everyday
514,KTX-Sancheon2,14:00:00,14:08:00,14:22:00,,14:45:30,14:56:00,15:21:30,15:41:30,,,,16:01:00,,,16:47:00,17:05:00,17:10:00,,Everyday
516,,14:56:00,15:04:00,15:18:15,15:33:15,,15:51:30,16:17:30,16:34:00,,,,16:53:30,17:11:30,,17:45:00,18:03:00,18:08:00,,Everyday
590,,,,,,,,16:25:00,16:41:30,17:06:30,17:24:30,17:40:30,,17:59:30,18:12:30,,18:49:00,,,"Friday, Saturday, Sunday"
4052,KTX-Sancheon2,15:26:00,15:34:00,15:48:15,16:03:15,16:14:45,16:25:30,16:51:30,17:11:30,,,,17:31:00,,17:57:00,,18:43:00,,19:05:00,"Friday, Saturday, Sunday"
4054,KTX-Sancheon,16:26:00,16:33:30,16:48:15,17:03:15,,17:21:30,17:47:00,18:07:00,18:32:00,18:50:00,19:07:30,,19:26:30,,19:59:00,20:17:00,20:27:00,20:44:00,"Friday, Saturday, Sunday"
518,KTX-Sancheon,16:34:00,16:42:00,16:56:30,,17:20:00,17:30:30,17:56:00,18:16:00,,,,,,18:54:30,19:20:00,19:36:00,,,Everyday
520,,18:03:00,18:11:00,18:25:30,18:40:30,18:52:00,19:02:30,19:28:30,19:45:00,,,,20:04:30,20:23:00,,20:57:00,21:15:00,21:24:00,21:41:00,Everyday
584,KTX-Sancheon2,18:53:00,19:01:00,19:15:30,,19:39:00,19:49:30,20:15:30,20:35:30,21:00:30,21:18:30,21:34:00,,,21:59:30,22:25:00,22:41:00,,,Everyday
544,KTX-Sancheon,19:24:00,19:32:00,19:46:30,,20:10:00,20:20:30,20:46:30,21:06:30,,,,21:26:00,21:44:00,,22:18:00,22:36:00,22:46:00,23:03:00,"Monday, Tuesday, Thursday"
546,KTX-Sancheon2,19:24:00,19:32:00,19:46:30,,20:10:00,20:20:30,20:46:30,21:06:30,,,,21:26:00,21:44:00,,22:18:00,22:36:00,22:46:00,23:03:00,"Saturday, Sunday"
522,KTX-Sancheon2,20:22:00,20:30:00,20:44:15,20:59:15,,21:17:30,21:43:30,22:04:00,,,,,22:35:00,22:49:30,,23:26:00,,,Everyday
524,KTX-Sancheon,21:54:00,22:01:30,22:15:15,,,22:45:30,23:11:00,23:27:30,,,,,23:59:30,,,00:46:00,,01:07:00,Everyday
