Train_Number,Organisation,Pohang,Dongdaegu,Seodaegu,Gimcheon(Gumi),Daejeon,Osong,Cheonan-Asan,Gwangmyeong,Seoul,Haengsin,Frequency
232,KTX-Sancheon,05:35:00,06:17:00,,,07:00:00,,,07:43:30,08:01:00,,Everyday
234,KTX-Sancheon,07:14:00,07:56:00,,08:19:00,08:44:30,09:02:00,,09:34:30,09:57:00,10:14:00,Everyday
236,KTX-Sancheon,09:57:00,10:39:00,,,11:22:30,,,12:07:30,12:25:00,,Everyday
238,,10:14:00,10:51:00,,,11:34:00,11:51:30,12:04:30,12:30:30,12:48:00,,Everyday
298,KTX-Sancheon,10:39:00,11:21:00,,11:44:00,12:09:30,,,12:53:00,13:11:00,,"Friday, Saturday, Sunday"
240,KTX-Sancheon2,11:04:00,11:45:00,,,12:28:30,,12:53:30,13:18:30,13:36:00,,"Monday, Tuesday, Thursday"
4140,KTX-Sancheon,11:04:00,11:45:00,,,12:28:30,,12:53:30,13:18:30,13:36:00,,"Friday, Saturday, Sunday"
242,KTX-Sancheon2,12:46:00,13:23:00,,,14:06:00,14:23:30,,14:56:00,15:14:00,,"Monday, Tuesday, Thursday"
292,KTX-Sancheon,12:46:00,13:23:00,,,14:06:00,14:23:30,,14:56:00,15:14:00,,"Friday, Saturday, Sunday"
9292,KTX-Sancheon2,12:46:00,13:23:00,,,14:06:00,14:23:30,,14:56:00,15:14:00,,"Friday, Saturday, Sunday"
244,KTX-Sancheon,14:03:00,14:44:30,,,15:27:30,15:45:00,15:58:00,16:23:30,16:41:00,,Everyday
246,,15:35:00,16:12:00,,,16:55:00,,,17:38:30,17:56:00,,Everyday
248,KTX-Sancheon,16:21:00,17:02:00,,17:25:00,17:50:30,18:08:00,,18:40:30,18:58:00,,Everyday
9248,KTX-Sancheon,16:21:00,17:02:00,,17:25:00,17:50:30,18:08:00,,18:40:30,18:58:00,,"Monday, Tuesday, Thursday"
250,,18:00:00,18:37:00,,,19:19:30,19:37:00,19:50:00,20:15:30,20:33:00,,Everyday
4034,KTX-Sancheon,18:31:00,19:09:00,,,19:53:00,,20:17:00,,21:01:00,21:18:00,"Monday, Tuesday, Thursday"
4032,KTX-Sancheon,18:31:00,19:16:00,,,19:59:00,,,,21:01:00,21:18:00,"Friday, Saturday, Sunday"
294,KTX-Sancheon2,18:54:00,19:35:00,,19:58:00,20:23:30,20:41:00,,21:13:30,21:31:00,,"Friday, Saturday, Sunday"
296,KTX-Sancheon2,18:58:00,19:35:00,,19:58:00,20:23:30,20:41:00,,21:13:30,21:31:00,,"Monday, Tuesday, Thursday"
252,KTX-Sancheon,19:27:00,20:08:30,20:18:00,,21:01:30,,,21:47:00,22:05:00,,Everyday
254,KTX-Sancheon,21:36:00,22:17:00,,,23:00:00,,23:24:00,23:49:30,00:11:00,00:28:00,Everyday
