Train_Number,Haengsin,Seoul,Cheongnyangni,Sangbong,Deokso,Yangpyeong,Seowonju,Manjong,Hoengseong,Dunnae,Pyeongchang,Jinbu(Odaesan),Gangneung,Jeongdongjin,Mukho,Donghae,Frequency
801,,05:06:00,05:27:00,05:33:30,,,,06:18:00,,,06:39:00,,07:03:00,,,,Everyday
803,,05:40:00,06:00:30,,,06:27:30,,06:51:30,,07:06:30,07:17:00,07:26:00,07:44:00,,,,Everyday
851,,,06:27:00,,,06:54:30,07:14:00,07:19:30,,,,,07:59:00,,,,Everyday
841,,,07:05:00,07:11:30,,07:35:00,,07:59:00,08:07:30,,08:24:00,08:33:00,,09:00:30,09:21:30,09:28:00,Everyday
853,,,07:52:00,,,,,08:39:30,,,,09:05:00,09:23:00,,,,"Saturday, Sunday"
805,07:33:00,07:59:00,08:19:30,,,08:46:30,,09:10:00,09:19:00,09:30:00,09:40:30,,10:04:00,,,,Everyday
855,,,08:52:00,08:58:30,,,,09:42:00,09:50:30,10:01:00,,10:15:30,10:34:00,,,,"Saturday, Sunday"
807,,08:57:00,09:18:00,,,,10:02:30,10:09:30,10:18:30,,,10:39:30,10:58:00,,,,Everyday
881,,,09:37:00,,09:51:00,10:07:00,10:27:00,,,,10:51:00,,,11:24:00,11:44:30,11:51:00,"Friday, Saturday, Sunday"
809,,09:55:00,10:15:30,10:21:30,,10:45:00,,11:08:30,,11:24:00,11:34:30,,11:58:00,,,,Everyday
843,,10:59:00,11:20:30,,,11:47:30,12:08:00,,12:20:30,,,12:41:15,,13:08:30,13:29:30,13:36:00,Everyday
857,,,12:01:00,,,,,12:48:00,,13:03:30,,,13:33:00,,,,"Friday, Saturday, Sunday"
811,,12:11:00,12:31:30,12:38:00,,,,13:21:30,13:30:30,,13:47:00,13:56:00,14:14:00,,,,Everyday
883,,,13:03:00,13:09:30,,,,13:53:30,,,,,,14:46:30,15:07:30,15:14:00,"Friday, Saturday, Sunday"
813,,12:55:00,13:16:30,,,,14:00:30,14:06:30,14:15:30,14:26:30,,,14:56:00,,,,Everyday
869,,,13:42:00,,,14:09:00,,14:32:30,,,14:54:00,,15:18:00,,,,"Monday, Tuesday, Wednesday, Thursday, Friday"
887,,,13:42:00,,,14:09:00,,14:32:30,,,14:54:00,,,15:27:30,15:49:30,15:56:00,"Saturday, Sunday"
815,,13:55:00,14:15:30,14:21:30,,,,15:05:30,15:14:00,,15:30:30,,15:54:00,,,,Everyday
859,,,14:40:00,,,15:07:00,15:27:30,15:33:00,,15:48:30,,,16:18:00,,,,Everyday
861,,,15:02:00,,15:16:00,15:32:00,,15:55:00,,,,,16:35:00,,,,"Friday, Saturday, Sunday"
845,,15:01:00,15:23:00,,,,16:10:30,,16:23:00,,,16:44:00,,17:11:30,17:36:30,17:43:00,Everyday
863,,,15:52:00,,,,,16:40:00,,,,,17:20:00,,,,"Friday, Saturday, Sunday"
817,,16:11:00,16:32:00,,,16:58:30,17:19:30,17:25:00,17:34:00,17:45:00,17:55:00,18:04:00,18:22:00,,,,Everyday
819,,17:04:00,17:25:00,17:31:30,,17:55:00,,,18:24:30,18:35:00,18:45:30,18:54:00,19:12:00,,,,Everyday
865,,,18:05:00,18:11:30,,,18:51:30,,,,,19:20:30,19:39:00,,,,"Friday, Saturday, Sunday"
847,,18:20:00,18:41:30,,,,,19:29:00,,19:45:00,19:56:00,,,20:29:30,20:50:30,20:57:00,Everyday
821,,18:58:00,19:21:30,19:28:00,,19:51:30,,20:14:30,20:23:30,20:34:30,20:45:00,,21:09:00,,,,Everyday
867,,,19:55:00,,,20:22:00,,20:45:00,,,,21:10:30,21:29:00,,,,"Friday, Saturday, Sunday"
849,,19:50:00,20:11:00,,,,,20:58:30,21:08:00,,21:25:00,,,21:58:30,22:19:30,22:26:00,Everyday
823,,20:01:00,20:22:00,20:28:00,,20:51:30,,21:14:30,,,,21:39:30,21:58:00,,,,Everyday
871,,,21:38:00,,,,,22:25:30,,,,,23:05:00,,,,"Saturday, Sunday"
825,,21:31:00,21:52:00,,,22:18:30,22:39:00,22:45:30,22:54:30,23:05:30,23:16:00,,23:41:00,,,,Everyday
827,,22:14:00,22:34:30,,,,,23:21:30,,,,23:47:00,00:05:00,,,,Everyday
